data.demakkab.go.id
36.89.22.110
180.250.147.114
data.grobogan.go.id
data.pekalongankota.go.id
103.108.187.4
202.46.1.138
118.97.18.18
182.253.106.67
118.97.16.172
data.salatiga.go.id
103.78.143.59
data.banyumaskab.go.id
opendata.semarangkota.go.id
data.jeparakab.go.id
data.temanggungkab.go.id
data.wonosobokab.go.id
data.surakarta.go.id
data.kuduskab.go.id
opendata.rstugurejo.jatengprov.go.id
data.magelangkota.go.id

